,Game,url,ProductID,System,xCloud,Status,Removed,Release,Metacritic,Genre_x,Series_X_S,ESRB_x,ESRB_Content_Descriptors,Community_Notes,asset_count,developer,has_gamepass_remediation,is_xpa,prices,publisher,release_date,rating_30_days.AggregateTimeSpan,rating_30_days_avg,rating_30_days.PlayCount,rating_30_days.PurchaseCount,rating_30_days_count,rating_30_days.RentalCount,rating_30_days.TrialCount,rating_7_days.AggregateTimeSpan,rating_7_days_avg,rating_7_days.PlayCount,rating_7_days.PurchaseCount,rating_7_days_count,rating_7_days.RentalCount,rating_7_days.TrialCount,rating_alltime.AggregateTimeSpan,rating_alltime_avg,rating_alltime.PlayCount,rating_alltime.PurchaseCount,rating_alltime_count,rating_alltime.RentalCount,rating_alltime.TrialCount,current_price,days_since_release,days_since_gp_add,momentum,discovery_capture,quality_retention,rating_trend_7d_vs_alltime,is_day_one_gp,Genre,genre_median_momentum,lift_vs_genre_momentum,conditioned_median_momentum,lift_vs_rating_momentum,zscore_momentum,genre_median_discovery_capture,lift_vs_genre_discovery_capture,conditioned_median_discovery_capture,lift_vs_rating_discovery_capture,zscore_discovery_capture,genre_median_quality_retention,lift_vs_genre_quality_retention,conditioned_median_quality_retention,lift_vs_rating_quality_retention,zscore_quality_retention,party_type
915,Castlevania: Symphony of the Night,https://www.xbox.com/en-us/games/store/Castlevania-SOTN/BSTM3283756M,BSTM3283756M,XB360/OG Xbox,None,GwG Permanent,Jul 2019,Mar 1997,92,Action-Adventure,No relation,T,CarVio,,25,digital eclipse,False,,,konami,2010-06-23T00:00:00.0000000Z,30Days,4.7,0.0,0,27,0,0,7Days,4.7,0.0,0,10,0,0,AllTime,4.8,0.0,0,2996,0,0,9.99,10556,2399,37.04,0.33,-0.1,-0.1,False,Action-Adventure,18.575,18.465,0.0,,,0.055,0.275,0.0,,,0.0,-0.1,0.0,,,3rd Party
916,Rivals of Aether,https://www.xbox.com/en-us/games/store/Rivals-of-Aether/BWSQ6832LWNL,BWSQ6832LWNL,XB1/Series X|S,None,GwG Temporary,Jul 2019,May 2017,88,Fighting,No relation,E10,FanVio,,22,dan fornace,False,,,dan fornace,2017-08-23T00:00:00.0000000Z,30Days,5.0,0.0,0,2,0,0,7Days,0.0,0.0,0,0,0,0,AllTime,3.8,0.0,0,2431,0,0,14.99,3190,2429,0.0,0.0,1.2,-3.8,False,Fighting,14.29,-14.29,0.0,,,0.03,-0.03,0.0,,,0.0,1.2,1.2,,,3rd Party
917,The LEGO Movie Videogame,https://www.xbox.com/en-us/games/store/The-LEGO-Movie-Videogame/C42GGWF64WH8,C42GGWF64WH8,Xbox,None,Removed,Jul 2019,Feb 2014,69,Action-Adventure,FPS Boost,E10,"ComMis, CarVio",,15,traveller's tales,False,,,warner bros. games,2014-02-07T00:00:00.0000000Z,30Days,4.6,0.0,0,5,0,0,7Days,5.0,0.0,0,1,0,0,AllTime,4.1,0.0,0,8704,0,0,19.99,4375,2580,20.0,0.01,0.5,0.9,False,Action-Adventure,18.575,1.4250000000000007,0.0,,,0.055,-0.045,0.0,,,0.0,0.5,0.0,,,3rd Party
918,Dead Rising 2,https://www.xbox.com/en-us/games/store/Dead-Rising-2/C3CSPBFVQ80K,C3CSPBFVQ80K,Xbox,None,Removed,Jul 2019,Sep 2010,79,RPG / Action-Adventure,No relation,M,"UseAlc, BloGor, SexThe, Lan, IntVio",,10,mercenary technology,False,,,capcom,2016-09-13T00:00:00.0000000Z,30Days,4.2,0.0,0,12,0,0,7Days,5.0,0.0,0,5,0,0,AllTime,4.2,0.0,0,1205,0,0,19.99,5624,2733,41.67,0.41,0.0,0.8,False,RPG / Action-Adventure,21.715,19.955000000000002,25.0,,,0.05500000000000001,0.355,0.13,,,-0.1,0.1,0.0,,,3rd Party
919,HITMAN,https://www.xbox.com/en-us/games/store/HITMAN/C1C6CRH9D0R4,C1C6CRH9D0R4,Xbox,None,Removed,Jul 2019,Mar 2016,85,Action-Adventure,No relation,M,"Blo, SugThe, DruRef, StrLan, IntVio",,13,io-interactive a/s,False,,,square enix,2016-03-11T00:00:00.0000000Z,30Days,1.8,0.0,0,12,0,0,7Days,1.0,0.0,0,1,0,0,AllTime,4.2,0.0,0,12904,0,0,0.0,3616,2733,8.33,0.01,-2.4,-3.2,False,Action-Adventure,18.575,-10.245,20.0,,,0.055,-0.045,0.09,,,0.0,-2.4,-0.1,,,3rd Party
920,Metal Slug XX,https://www.xbox.com/en-us/games/store/Metal-Slug-XX/BWZVPDGMPCC5,BWZVPDGMPCC5,Xbox,None,Removed,Jul 2019,Dec 2009,61,Shooter,No relation,T,"Blo, Vio",,14,snk playmore,False,,,snk playmore,2010-05-19T00:00:00.0000000Z,30Days,5.0,0.0,0,1,0,0,7Days,0.0,0.0,0,0,0,0,AllTime,4.2,0.0,0,359,0,0,14.99,5898,3098,0.0,0.0,0.8,-4.2,False,Shooter,20.375,-20.375,28.57,,,0.06,-0.06,0.12,,,0.15000000000000002,0.65,0.2,,,3rd Party
921,Defense Grid: The Awakening,https://www.xbox.com/en-us/games/store/Defense-Grid/BRGZNMD482L8,BRGZNMD482L8,Xbox,None,Removed,Jul 2019,Dec 2008,82,Strategy / Real-Time Strategy,No relation,E10,"FanVio, MilLan",,26,hidden path entertainment,False,,,xbox game studios,2010-07-05T00:00:00.0000000Z,30Days,0.0,0.0,0,0,0,0,7Days,0.0,0.0,0,0,0,0,AllTime,4.3,0.0,0,514,0,0,0.0,6263,3159,0.0,0.0,-4.3,-4.3,False,Strategy / Real-Time Strategy,0.0,0.0,6.25,,,0.0,0.0,0.06,,,-3.0,-1.2999999999999998,-1.9,,,2nd Party
922,Hexic 2,https://www.xbox.com/en-us/games/store/Hexic-2/BXWJJ7PBQ8MM,BXWJJ7PBQ8MM,Xbox,None,Removed,Jul 2019,Aug 2007,72,Puzzle,No relation,E,,,14,carbonated games,False,,,xbox game studios,2010-01-04T00:00:00.0000000Z,30Days,0.0,0.0,0,0,0,0,7Days,0.0,0.0,0,0,0,0,AllTime,4.0,0.0,0,137,0,0,9.99,6751,3159,0.0,0.0,-4.0,-4.0,False,Puzzle,0.0,0.0,0.0,,,0.0,0.0,0.0,,,-1.15,-2.85,-1.7,,,2nd Party
923,Earth Defense Force 2017,https://www.xbox.com/en-us/games/store/Earth-Defense-Force-2017/C2T2QKRDNWLC,C2T2QKRDNWLC,XB360/OG Xbox,None,GwG Permanent,Jun 2019,Apr 2012,80,Shooter,No relation,T,"MilLan, StrLan, Vio, AniBlo",,16,sandlot,False,,,d3 publisher,2006-12-14T00:00:00.0000000Z,30Days,5.0,0.0,0,3,0,0,7Days,5.0,0.0,0,1,0,0,AllTime,4.2,0.0,0,506,0,0,14.99,5046,2429,33.33,0.2,0.8,0.8,False,Shooter,20.375,12.954999999999998,28.57,,,0.06,0.14,0.12,,,0.15000000000000002,0.65,0.2,,,3rd Party
924,Portal: Still Alive,https://www.xbox.com/en-us/games/store/Portal-Still-Alive/BR30GBNH63F9,BR30GBNH63F9,XB360/OG Xbox,None,GwG Permanent,Jun 2019,Jun 2008,87,Shooter,Enhanced,T,"MilVio, Blo",,21,valve,False,,,valve,2010-06-23T00:00:00.0000000Z,30Days,5.0,0.0,0,17,0,0,7Days,5.0,0.0,0,3,0,0,AllTime,4.7,0.0,0,2619,0,0,14.99,6446,2429,17.65,0.11,0.3,0.3,False,Shooter,20.375,-2.7250000000000014,28.57,,,0.06,0.05,0.12,,,0.15000000000000002,0.14999999999999997,0.2,,,3rd Party
