,Game,url,ProductID,System,xCloud,Status,Removed,Release,Metacritic,Genre_x,Series_X_S,ESRB_x,ESRB_Content_Descriptors,Community_Notes,asset_count,developer,has_gamepass_remediation,is_xpa,prices,publisher,release_date,rating_30_days.AggregateTimeSpan,rating_30_days_avg,rating_30_days.PlayCount,rating_30_days.PurchaseCount,rating_30_days_count,rating_30_days.RentalCount,rating_30_days.TrialCount,rating_7_days.AggregateTimeSpan,rating_7_days_avg,rating_7_days.PlayCount,rating_7_days.PurchaseCount,rating_7_days_count,rating_7_days.RentalCount,rating_7_days.TrialCount,rating_alltime.AggregateTimeSpan,rating_alltime_avg,rating_alltime.PlayCount,rating_alltime.PurchaseCount,rating_alltime_count,rating_alltime.RentalCount,rating_alltime.TrialCount,current_price,days_since_release,days_since_gp_add,momentum,discovery_capture,quality_retention,rating_trend_7d_vs_alltime,is_day_one_gp,Genre,genre_median_momentum,lift_vs_genre_momentum,conditioned_median_momentum,lift_vs_rating_momentum,zscore_momentum,genre_median_discovery_capture,lift_vs_genre_discovery_capture,conditioned_median_discovery_capture,lift_vs_rating_discovery_capture,zscore_discovery_capture,genre_median_quality_retention,lift_vs_genre_quality_retention,conditioned_median_quality_retention,lift_vs_rating_quality_retention,zscore_quality_retention,party_type
293,Banjo-Tooie,https://www.xbox.com/en-us/games/store/Banjo-Tooie/BX27S00SKW1V,BX27S00SKW1V,Xbox,Touch Controls,Active,,Nov 2000,73,Adventure,No relation,E,"CruHum, CarVio",,18,4j studios,True,,,xbox game studios,2010-06-23T00:00:00.0000000Z,30Days,5.0,0.0,0,2,0,0,7Days,0.0,0.0,0,0,0,0,AllTime,4.3,0.0,0,778,0,0,14.99,9215,3159,0.0,0.0,0.7,-4.3,False,Adventure,13.64,-13.64,30.465,,,0.02,-0.02,0.025,,,0.0,0.7,0.4,,,2nd Party
294,Fable III,https://www.xbox.com/en-us/games/store/Fable-III/BR46KM4D5B9L,BR46KM4D5B9L,Xbox,Touch Controls,Active,,Oct 2010,80,Adventure,FPS Boost,M,"Use of Alcohol, Blood, Sexual Content, Violence, Language",,12,lionhead studios,True,,,xbox game studios,2010-10-25T00:00:00.0000000Z,30Days,4.5,0.0,0,26,0,0,7Days,4.6,0.0,0,9,0,0,AllTime,4.3,0.0,0,4103,0,0,6.59,5594,3159,34.62,0.22,0.2,0.3,False,Adventure,13.64,20.979999999999997,14.29,,,0.02,0.2,0.03,,,0.0,0.2,0.2,,,2nd Party
295,Fuzion Frenzy,https://www.xbox.com/en-us/games/store/Fuzion-Frenzy/C2P985H1H42H,C2P985H1H42H,Xbox,Touch Controls,Active,,Nov 2001,70,Minigame Collection,No relation,E,Violence,,14,"blitz games, ltd.",True,,,xbox game studios,2001-09-23T00:00:00.0000000Z,30Days,4.3,0.0,0,16,0,0,7Days,5.0,0.0,0,2,0,0,AllTime,4.5,0.0,0,1097,0,0,2.49,8850,3159,12.5,0.18,-0.2,0.5,False,Minigame Collection,12.5,0.0,12.5,,,0.18,0.0,0.18,,,-0.2,0.0,-0.2,,,2nd Party
296,Gears of War 2,https://www.xbox.com/en-us/games/store/Gears-of-War-2/C1SDBNRFXT1D,C1SDBNRFXT1D,Xbox,Yes,Active,,Nov 2008,93,Action / Shooter,FPS Boost,M,"Blood and Gore, Strong Language, Intense Violence",,18,"epic games, inc.",True,,,xbox game studios,2010-10-12T00:00:00.0000000Z,30Days,4.5,0.0,0,53,0,0,7Days,4.9,0.0,0,11,0,0,AllTime,4.4,0.0,0,7055,0,0,11.99,6293,3159,20.75,0.16,0.1,0.5,False,Action / Shooter,16.67,4.079999999999998,24.155,,,0.01,0.15,0.165,,,0.2,-0.1,0.30000000000000004,,,2nd Party
297,Gears of War 3,https://www.xbox.com/en-us/games/store/Gears-of-War-3/BPKDQSSFQ9WV,BPKDQSSFQ9WV,Xbox,Yes,Active,,Sep 2011,91,Action / Shooter,FPS Boost,M,"Blood and Gore, Strong Language, Intense Violence",,20,"epic games, inc",True,,,xbox game studios,2012-03-27T00:00:00.0000000Z,30Days,4.9,0.0,0,65,0,0,7Days,4.9,0.0,0,19,0,0,AllTime,4.7,0.0,0,10512,0,0,11.99,5259,3159,29.23,0.18,0.2,0.2,False,Action / Shooter,16.67,12.559999999999999,24.155,,,0.01,0.16999999999999998,0.165,,,0.2,0.0,0.30000000000000004,,,2nd Party
298,Gears of War: Ultimate Edition,https://www.xbox.com/en-us/games/store/Gears-of-War-Ultimate-Edition/BQT21VXFS52F,BQT21VXFS52F,Xbox / PC,Yes,Active,,Nov 2006,82,Shooter,FPS Boost,M,"Blood and Gore, Strong Language, Intense Violence",,26,xbox game studios,False,,,xbox game studios,2015-08-25T00:00:00.0000000Z,30Days,4.7,0.0,0,11,0,0,7Days,5.0,0.0,0,4,0,0,AllTime,4.6,0.0,0,30723,0,0,0.0,7024,3159,36.36,0.01,0.1,0.4,False,Shooter,20.375,15.985,20.0,,,0.06,-0.049999999999999996,0.06,,,0.15000000000000002,-0.05000000000000002,0.2,,,2nd Party
299,Halo 5: Guardians,https://www.xbox.com/en-us/games/store/Halo-5-Guardians/BRRC2BP0G9P0,BRRC2BP0G9P0,Xbox,Yes,Active,,Oct 2015,84,First-Person Shooter,No relation,T,"Blood, Mild Language, Violence",,15,xbox game studios,True,,,xbox game studios,2015-10-27T00:00:00.0000000Z,30Days,4.0,0.0,0,49,0,0,7Days,4.1,0.0,0,13,0,0,AllTime,4.2,0.0,0,75309,0,0,19.99,3768,3159,26.53,0.02,-0.2,-0.1,False,First-Person Shooter,24.04,2.490000000000002,19.740000000000002,,,0.08,-0.06,0.055,,,0.0,-0.2,-0.1,,,2nd Party
300,Halo: Spartan Assault,https://www.xbox.com/en-us/games/store/Halo-Spartan-Assault/BV0K9LMLQ9W5,BV0K9LMLQ9W5,Xbox / PC,Touch Controls,Active,,Jul 2013,53,Dual-Joystick Shooter,FPS Boost,T,"Blood, Violence",,11,vanguard games,True,,,xbox game studios,2013-12-23T00:00:00.0000000Z,30Days,4.3,0.0,0,6,0,0,7Days,4.3,0.0,0,3,0,0,AllTime,3.6,0.0,0,19257,0,0,4.99,4590,3159,50.0,0.02,0.7,0.7,False,Dual-Joystick Shooter,16.665,33.335,25.0,,,0.01,0.01,0.01,,,-1.35,2.05,-1.4,,,2nd Party
301,Jetpac Refuelled,https://www.xbox.com/en-us/games/store/Jetpac-Refuelled/BRRVN5198461,BRRVN5198461,Xbox,Touch Controls,Active,,Mar 2007,73,Action / Shooter,No relation,E,Mild Fantasy Violence,,13,rare limited,True,,,xbox game studios,2006-10-24T00:00:00.0000000Z,30Days,0.0,0.0,0,0,0,0,7Days,0.0,0.0,0,0,0,0,AllTime,3.9,0.0,0,210,0,0,4.99,6904,3159,0.0,0.0,-3.9,-3.9,False,Action / Shooter,16.67,-16.67,0.0,,,0.01,-0.01,0.0,,,0.2,-4.1,-3.9,,,2nd Party
302,Joy Ride Turbo,https://www.xbox.com/en-us/games/store/Joy-Ride-Turbo/C1ZWH2BZ9TSF,C1ZWH2BZ9TSF,Xbox,Touch Controls,Active,,May 2012,67,Driving/Racing,No relation,E,Mild Fantasy Violence,,20,bigpark,True,,,xbox game studios,2012-05-23T00:00:00.0000000Z,30Days,4.5,0.0,0,15,0,0,7Days,4.5,0.0,0,2,0,0,AllTime,4.3,0.0,0,1810,0,0,2.49,5016,3159,13.33,0.11,0.2,0.2,False,Driving/Racing,0.0,13.33,0.0,,,0.0,0.11,0.0,,,0.1,0.1,-0.2,,,2nd Party
303,Kameo: Elements of Power,https://www.xbox.com/en-us/games/store/Kameo/BV83SM3191S5,BV83SM3191S5,Xbox,Yes,Active,,Nov 2005,79,Action-Adventure,FPS Boost,T,Violence,,14,"rare, ltd.",True,,,xbox game studios,2009-08-11T00:00:00.0000000Z,30Days,4.0,0.0,0,4,0,0,7Days,0.0,0.0,0,0,0,0,AllTime,4.4,0.0,0,847,0,0,9.99,7389,3159,0.0,0.0,-0.4,-4.4,False,Action-Adventure,18.575,-18.575,0.0,,,0.055,-0.055,0.0,,,0.0,-0.4,0.0,,,2nd Party
304,Max: The Curse of Brotherhood,https://www.xbox.com/en-us/games/store/Max-The-Curse-of-Brotherhood/C0SFCF4PBRSZ,C0SFCF4PBRSZ,Xbox,None,Active,,Dec 2013,72,Puzzle / Platformer,No relation,E10+,3,,13,pressplay,True,,,xbox game studios,2013-12-20T00:00:00.0000000Z,30Days,4.7,0.0,0,3,0,0,7Days,0.0,0.0,0,0,0,0,AllTime,4.2,0.0,0,22811,0,0,3.74,4437,3159,0.0,0.0,0.5,-4.2,False,Puzzle / Platformer,0.0,0.0,0.0,,,0.0,0.0,0.0,,,-3.55,4.05,0.5,,,2nd Party
305,Perfect Dark Zero,https://www.xbox.com/en-us/games/store/Perfect-Dark-Zero/BZF7N4FQWHNR,BZF7N4FQWHNR,Xbox,Yes,Active,,Jun 2006,81,First-Person Shooter,No relation,M,"Blood, Violence, Language",,20,rare ltd.,True,,,xbox game studios,2009-08-11T00:00:00.0000000Z,30Days,4.0,0.0,0,1,0,0,7Days,4.0,0.0,0,1,0,0,AllTime,3.9,0.0,0,760,0,0,14.99,7177,3159,100.0,0.13,0.1,0.1,False,First-Person Shooter,24.04,75.96000000000001,26.295,,,0.08,0.05,0.085,,,0.0,0.1,0.05,,,2nd Party
306,ScreamRide,https://www.xbox.com/en-us/games/store/ScreamRide/BQ4M1XWXFKHB,BQ4M1XWXFKHB,Xbox,None,Active,,Mar 2015,71,Action,No relation,E10+,Mild Violence,,15,frontier,True,,,xbox game studios,2015-03-03T00:00:00.0000000Z,30Days,4.0,0.0,0,2,0,0,7Days,3.0,0.0,0,1,0,0,AllTime,3.6,0.0,0,4207,0,0,7.49,3982,3159,50.0,0.02,0.4,-0.6,False,Action,13.64,36.36,17.16,,,0.02,0.0,0.03,,,0.0,0.4,-0.09999999999999999,,,2nd Party
307,Sunset Overdrive,https://www.xbox.com/en-us/games/store/Sunset-Overdrive/BRZHFR5XBLQS,BRZHFR5XBLQS,Xbox / PC,None,Active,,Oct 2014,81,Shooter / Platformer / Action-Adventure,No relation,M,"Blood and Gore, Sexual Themes, Drug Reference, Strong Language, Violence",,12,insomniac games,True,,,xbox game studios,2014-10-28T00:00:00.0000000Z,30Days,4.7,0.0,0,22,0,0,7Days,5.0,0.0,0,4,0,0,AllTime,4.5,0.0,0,32951,0,0,19.99,4133,3159,18.18,0.01,0.2,0.5,False,Shooter / Platformer / Action-Adventure,23.22,-5.039999999999999,23.22,,,0.04,-0.03,0.04,,,0.2,0.0,0.2,,,2nd Party
308,Terraria,https://www.xbox.com/en-us/games/store/Terraria/BTNPS60N3114,BTNPS60N3114,Xbox,M+KB,Active,,May 2011,84,Platformer / Action-Adventure,No relation,T,"Use of Alcohol, Blood and Gore, Mild Suggestive Themes, Cartoon Violence",,15,dr studios,True,,,505 games,2014-11-14T00:00:00.0000000Z,30Days,4.7,0.0,0,96,0,0,7Days,4.5,0.0,0,31,0,0,AllTime,4.4,0.0,0,31711,0,0,19.99,5382,3159,32.29,0.1,0.3,0.1,False,Platformer / Action-Adventure,25.395,6.895,31.125,,,0.10500000000000001,-0.0050000000000000044,0.125,,,0.25,0.04999999999999999,0.05,,,3rd Party
309,Viva Piñata,https://www.xbox.com/en-us/games/store/Viva-Pinata/BSXSL6WBJ0V7,BSXSL6WBJ0V7,Xbox,Touch Controls,Active,,Nov 2006,84,Strategy / Simulation,No relation,E,"Crude Humor, Mild Cartoon Violence",,26,rare ltd.,True,,,xbox game studios,2010-06-01T00:00:00.0000000Z,30Days,5.0,0.0,0,3,0,0,7Days,0.0,0.0,0,0,0,0,AllTime,4.4,0.0,0,715,0,0,14.99,7024,3159,0.0,0.0,0.6,-4.4,False,Strategy / Simulation,8.335,-8.335,0.0,,,0.005,-0.005,0.0,,,0.2,0.39999999999999997,0.7,,,2nd Party
310,Viva Piñata: Trouble in Paradise,https://www.xbox.com/en-us/games/store/Viva-Pinata-TIP/BS1NPTPJGD4G,BS1NPTPJGD4G,Xbox,Touch Controls,Active,,Sep 2008,82,Strategy / Simulation,No relation,E,"Crude Humor, Mild Cartoon Violence",,12,rare ltd.,True,,,xbox game studios,2009-08-11T00:00:00.0000000Z,30Days,5.0,0.0,0,2,0,0,7Days,0.0,0.0,0,0,0,0,AllTime,4.2,0.0,0,768,0,0,14.99,6354,3159,0.0,0.0,0.8,-4.2,False,Strategy / Simulation,8.335,-8.335,0.0,,,0.005,-0.005,0.0,,,0.2,0.6000000000000001,0.7,,,2nd Party
311,Carrion,https://www.xbox.com/en-us/games/store/Carrion/9NPKKNBJ258V,9NPKKNBJ258V,Xbox / PC,Yes,Leaving Soon,Dec 2025,Jul 2020,76,Action,No relation,M,"Blood and Gore, Violence",,28,phobia game studio,False,,,devolver digital,2020-07-23T00:00:00.0000000Z,30Days,4.7,0.0,0,40,0,0,7Days,4.8,0.0,0,6,0,0,AllTime,4.5,0.0,0,5818,0,0,19.99,2033,388,15.0,0.1,0.2,0.3,False,Action,13.64,1.3599999999999994,17.95,,,0.02,0.08,0.1,,,0.0,0.2,0.0,,,3rd Party
312,Hell Let Loose,https://www.xbox.com/en-us/games/store/Hell-Let-Loose/9N44WK3WV2HJ,9N44WK3WV2HJ,Xbox / PC,Yes,Leaving Soon,Dec 2025,Jun 2019,79,Action / First-Person Shooter / Vehicular Combat,Exclusive,M,"BloGor, Vio",,23,team17,False,,,team17,2021-10-05T00:00:00.0000000Z,30Days,3.7,0.0,0,198,0,0,7Days,3.5,0.0,0,46,0,0,AllTime,3.2,0.0,0,18053,0,0,49.99,2429,754,23.23,0.25,0.5,0.3,False,Action / First-Person Shooter / Vehicular Combat,11.615,11.615,23.23,,,0.125,0.125,0.25,,,0.65,-0.15000000000000002,0.5,,,3rd Party
313,Mortal Kombat 11,https://www.xbox.com/en-us/games/store/Mortal-Kombat-11/BTC0L0BW6LWC,BTC0L0BW6LWC,Xbox / PC,Yes,Removed,Dec 2025,Apr 2015,82,Fighting,No relation,M,"Blood and Gore, Strong Language, Intense Violence",,20,netherrealm studios,False,,,warner bros. games,2019-04-23T00:00:00.0000000Z,30Days,4.5,0.0,0,115,0,0,7Days,4.2,0.0,0,19,0,0,AllTime,3.8,0.0,0,18068,0,0,49.99,3951,1515,16.52,0.11,0.7,0.4,False,Fighting,14.29,2.2300000000000004,15.405,,,0.03,0.08,0.02,,,0.0,0.7,-0.3,,,3rd Party
314,Octopath Traveler,https://www.xbox.com/en-us/games/store/OCTOPATH-TRAVELER/9N9606CC950J,9N9606CC950J,Xbox / PC,Touch Controls,Removed,Nov 2025,Jul 2018,83,RPG,No relation,T,"Blood, Fantasy Violence, Mild Language, Suggestive Themes, Use of Alcohol",,24,"square enix, acquire corp.",False,,,square enix,2021-03-25T00:00:00.0000000Z,30Days,4.5,0.0,0,8,0,0,7Days,4.2,0.0,0,4,0,0,AllTime,4.3,0.0,0,4925,0,0,59.99,2764,602,50.0,0.08,0.2,-0.1,False,RPG,11.11,38.89,0.0,,,0.02,0.06,0.0,,,-0.2,0.4,-0.25,,,3rd Party
315,NBA LIVE 19,https://www.xbox.com/en-us/games/store/NBA-LIVE-19-Pre-order-Incentive/BNSKQL66QLC0,BNSKQL66QLC0,Xbox,None,Removed,Oct 2025,Sep 2018,75,Sports / Basketball,No relation,E,,,5,,False,,,,2018-09-07T00:00:00.0000000Z,30Days,0.0,0.0,0,0,0,0,7Days,0.0,0.0,0,0,0,0,AllTime,5.0,0.0,0,4,0,0,399.99,2702,1910,0.0,0.0,-5.0,-5.0,False,Sports / Basketball,0.0,0.0,0.0,,,0.0,0.0,0.0,,,-3.8,-1.2000000000000002,-3.8,,,3rd Party
316,NINJA GAIDEN: Master Collection,https://www.xbox.com/en-us/games/store/NINJA-GAIDEN-Master-Collection/9NCG3X89KRLD,9NCG3X89KRLD,Xbox / PC,Touch Controls,Removed,Sep 2025,Jun 2021,72,Action / Compilation,No relation,M,"Blood and Gore, Intense Violence, Partial Nudity, Strong Language, Suggestive Themes",,23,koei tecmo games,False,,,koei tecmo america,2021-06-10T00:00:00.0000000Z,30Days,3.0,0.0,0,2,0,0,7Days,0.0,0.0,0,0,0,0,AllTime,4.0,0.0,0,587,0,0,39.99,1698,1333,0.0,0.0,-1.0,-4.0,False,Action / Compilation,0.0,0.0,0.0,,,0.0,0.0,0.0,,,-1.0,0.0,-1.0,,,3rd Party
317,Wargroove 2,https://www.xbox.com/en-us/games/store/Wargroove/9NRPTTJ94PCK,9NRPTTJ94PCK,Xbox / PC,Yes,Removed,Sep 2025,Oct 2023,85,Strategy,No relation,E10,FanVio,,41,chucklefish,False,,,chucklefish,2019-02-01T00:00:00.0000000Z,30Days,5.0,0.0,0,1,0,0,7Days,5.0,0.0,0,1,0,0,AllTime,4.0,0.0,0,977,0,0,19.99,846,510,100.0,0.1,1.0,1.0,False,Strategy,0.0,100.0,2.94,,,0.0,0.1,0.005,,,-0.5,1.5,0.2,,,3rd Party
318,Ben 10: Power Trip,https://www.xbox.com/en-us/games/store/Ben-10-Power-Trip/9NJWFF2KHL6H,9NJWFF2KHL6H,Xbox / PC,Touch Controls,Removed,Aug 2025,Oct 2020,67,Brawler / Action-Adventure,No relation,E10+,Cartoon Violence,,27,phl collective,False,,,outright games ltd,2020-10-09T00:00:00.0000000Z,30Days,5.0,0.0,0,1,0,0,7Days,5.0,0.0,0,1,0,0,AllTime,3.0,0.0,0,1873,0,0,29.99,1941,1515,100.0,0.05,2.0,2.0,False,Brawler / Action-Adventure,100.0,0.0,100.0,,,0.28,-0.23000000000000004,0.05,,,0.0,2.0,2.0,,,3rd Party
319,PAW Patrol Mighty Pups: Save Adventure Bay,https://www.xbox.com/en-us/games/store/PAW-Patrol-Mighty-Pups-Save-Adventure-Bay/9N3TF03KNTBD,9N3TF03KNTBD,Xbox / PC,Touch Controls,Removed,Aug 2025,Nov 2020,65,Action,No relation,E,,,28,drakhar studio,False,,,outright games ltd.,2020-11-06T00:00:00.0000000Z,30Days,5.0,0.0,0,2,0,0,7Days,5.0,0.0,0,1,0,0,AllTime,3.6,0.0,0,1662,0,0,29.99,1910,1515,50.0,0.06,1.4,1.4,False,Action,13.64,36.36,0.0,,,0.02,0.039999999999999994,0.0,,,0.0,1.4,0.0,,,3rd Party
320,Farming Simulator 22,https://www.xbox.com/en-us/games/store/Farming-Simulator-22/9P6SRW1HVW9K,9P6SRW1HVW9K,Xbox / PC,Yes,Removed,Aug 2025,Nov 2021,76,Simulation,No relation,E,,,29,giants software,False,,,giants software,2021-11-22T05:00:00.0000000Z,30Days,4.3,0.0,0,32,0,0,7Days,4.4,0.0,0,9,0,0,AllTime,3.8,0.0,0,7530,0,0,29.99,1545,1364,28.12,0.12,0.5,0.6,False,Simulation,16.67,11.45,20.98,,,0.04,0.07999999999999999,0.08,,,-0.1,0.6,0.25,,,3rd Party
321,Anthem,https://www.xbox.com/en-us/games/store/Anthem-Legion-of-Dawn-Edition/C1H46KTPZZ2Q,C1H46KTPZZ2Q,Xbox / PC,None,Removed,Aug 2025,Feb 2019,62,Action / RPG,FPS Boost X Only,T,"Mild Blood, Use of Tobacco, Alcohol Reference, Violence, Language",,31,bioware,False,,,electronic arts,2019-02-22T00:00:00.0000000Z,30Days,0.0,0.0,0,0,0,0,7Days,0.0,0.0,0,0,0,0,AllTime,3.0,0.0,0,858,0,0,0.0,2549,1910,0.0,0.0,-3.0,-3.0,False,Action / RPG,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.1,-3.1,0.3,,,3rd Party
322,The Callisto Protocol,https://www.xbox.com/en-us/games/store/the-callisto-protocol-for-xbox-series-xs/9N1L0KL84B56,9N1L0KL84B56,Xbox / PC,Yes,Removed,Jul 2025,Dec 2022,69,Survival,No relation,M,"Blood and Gore, Intense Violence, Strong Language",,28,striking distance studios,False,,,"krafton, inc.",2022-12-03T05:00:00.0000000Z,30Days,0.0,0.0,0,0,0,0,7Days,0.0,0.0,0,0,0,0,AllTime,3.9,0.0,0,1975,0,0,69.99,1150,602,0.0,0.0,-3.9,-3.9,False,Survival,20.0,-20.0,23.335,,,0.02,-0.02,0.035,,,0.0,-3.9,-0.15,,,3rd Party
323,Journey to the Savage Planet,https://www.xbox.com/en-us/games/store/Journey-to-the-Savage-Planet/BZ3CVPFPDSHK,BZ3CVPFPDSHK,Xbox / PC,Yes,Removed,Jun 2025,Jan 2020,76,First-Person Shooter / Action-Adventure,No relation,T,"Blood and Gore, Crude Humor, Language, Use of Drugs, Violence",,16,typhoon studios,False,,,505 games,2020-01-28T16:00:00.0000000Z,30Days,4.0,0.0,0,1,0,0,7Days,0.0,0.0,0,0,0,0,AllTime,4.4,0.0,0,3045,0,0,29.99,2215,572,0.0,0.0,-0.4,-4.4,False,First-Person Shooter / Action-Adventure,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,-0.4,-0.4,,,3rd Party
324,SteamWorld Dig,https://www.xbox.com/en-us/games/store/SteamWorld-Dig/C289KCH8WP0F,C289KCH8WP0F,Xbox,Yes,Removed,Jun 2025,Aug 2013,82,Metroidvania,No relation,E10+,Fantasy Violence,,10,image & form,False,,,image & form,2015-06-05T00:00:00.0000000Z,30Days,5.0,0.0,0,3,0,0,7Days,5.0,0.0,0,1,0,0,AllTime,4.1,0.0,0,1317,0,0,9.99,4559,602,33.33,0.08,0.9,0.9,False,Metroidvania,16.665,16.665,16.665,,,0.04,0.04,0.04,,,1.1,-0.20000000000000007,1.1,,,3rd Party
325,SteamWorld Dig 2,https://www.xbox.com/en-us/games/store/SteamWorld-Dig-2/9P45LLRNDP1R,9P45LLRNDP1R,Xbox / PC,None,Removed,Jun 2025,Sep 2017,88,Metroidvania,No relation,E10+,Fantasy Violence,,46,image & form,False,,,image & form,2018-11-21T09:00:00.0000000Z,30Days,5.0,0.0,0,2,0,0,7Days,0.0,0.0,0,0,0,0,AllTime,3.7,0.0,0,1482,0,0,19.99,3067,602,0.0,0.0,1.3,-3.7,False,Metroidvania,16.665,-16.665,16.665,,,0.04,-0.04,0.04,,,1.1,0.19999999999999996,1.1,,,3rd Party
326,My Friend Peppa Pig,https://www.xbox.com/en-us/games/store/My-Friend-Peppa-Pig/9NDJLXD2X2DM,9NDJLXD2X2DM,Xbox / PC,Touch Controls,Removed,Jun 2025,Oct 2021,65,Educational,No relation,E,,,31,petoons studio ltd,False,,,outright games ltd.,2021-10-22T04:00:00.0000000Z,30Days,1.0,0.0,0,1,0,0,7Days,0.0,0.0,0,0,0,0,AllTime,4.3,0.0,0,6876,0,0,39.99,1576,1303,0.0,0.0,-3.3,-4.3,False,Educational,0.0,0.0,0.0,,,0.0,0.0,0.0,,,-3.45,0.15000000000000036,-3.45,,,3rd Party
327,Hypnospace Outlaw,https://www.xbox.com/en-us/games/store/Hypnospace-Outlaw/9PM3NVB3PXG0,9PM3NVB3PXG0,Xbox / PC,Yes,Removed,Jun 2025,Mar 2019,82,Adventure / Simulation / Puzzle,No relation,T,"Violence, Blood, Suggestive Themes, Drug Reference",,16,"tendershoot, thatwhichis media & michael lasch",False,,,no more robots,2020-08-27T15:00:00.0000000Z,30Days,0.0,0.0,0,0,0,0,7Days,0.0,0.0,0,0,0,0,AllTime,3.6,0.0,0,1564,0,0,19.99,2521,968,0.0,0.0,-3.6,-3.6,False,Adventure / Simulation / Puzzle,0.0,0.0,0.0,,,0.0,0.0,0.0,,,-3.6,0.0,-3.6,,,3rd Party
328,Firework,https://www.xbox.com/en-us/games/store/Firework-a-modern-tale/9PMDWMZSKGTW,9PMDWMZSKGTW,PC,None,Removed,May 2025,Feb 2021,80,Action-Adventure,No relation,RP,"MilFanVio, MilLan",,13,ivan zanotti,False,,,fantastico studio,2021-02-12T00:00:00.0000000Z,30Days,0.0,0.0,0,0,0,0,7Days,0.0,0.0,0,0,0,0,AllTime,4.1,0.0,0,11,0,0,6.99,1818,602,0.0,0.0,-4.1,-4.1,False,Action-Adventure,18.575,-18.575,0.0,,,0.055,-0.055,0.0,,,0.0,-4.1,-4.1,,,3rd Party
329,Brothers: A Tale of Two Sons,https://www.xbox.com/en-us/games/store/Brothers-a-Tale-of-Two-Sons/C4Q29CMJ31NX,C4Q29CMJ31NX,Xbox / PC,Yes,Removed,May 2025,Aug 2013,81,Adventure / Puzzle,No relation,T,"Blood, Mild Language, Violence",,19,starbreeze studios/the workshop,False,,,505 games,2015-08-12T00:00:00.0000000Z,30Days,4.7,0.0,0,3,0,0,7Days,5.0,0.0,0,2,0,0,AllTime,4.3,0.0,0,4932,0,0,19.99,4559,633,66.67,0.04,0.4,0.7,False,Adventure / Puzzle,12.5,54.17,33.335,,,0.02,0.02,0.02,,,0.45,-0.04999999999999999,0.45,,,3rd Party
330,The Big Con,https://www.xbox.com/en-us/games/store/The-Big-Con/9P01R01ZJ9BX,9P01R01ZJ9BX,Xbox / PC,Yes,Removed,May 2025,Aug 2021,77,Adventure,No relation,T,"Language, Drug Reference, Use of Tobacco",,18,mighty yell studios,False,,,skybound games,2021-08-31T12:00:00.0000000Z,30Days,5.0,0.0,0,1,0,0,7Days,0.0,0.0,0,0,0,0,AllTime,3.6,0.0,0,1236,0,0,14.99,1637,968,0.0,0.0,1.4,-3.6,False,Adventure,13.64,-13.64,12.375,,,0.02,-0.02,0.025,,,0.0,1.4,-0.05,,,3rd Party
331,Orcs Must Die! 3,https://www.xbox.com/en-us/games/store/Orcs-Must-Die-3/9NCWF7RRR52G,9NCWF7RRR52G,Xbox / PC,Yes,Removed,Apr 2025,Jul 2021,77,Strategy,No relation,T,"Blood and Gore, Violence",,27,"robot entertainment, inc.",False,,,"robot entertainment, inc.",2021-07-23T12:00:00.0000000Z,30Days,5.0,0.0,0,1,0,0,7Days,0.0,0.0,0,0,0,0,AllTime,4.0,0.0,0,1377,0,0,29.99,1668,663,0.0,0.0,1.0,-4.0,False,Strategy,0.0,0.0,0.0,,,0.0,0.0,0.0,,,-0.5,1.5,-1.3,,,3rd Party
332,Kona,https://www.xbox.com/en-us/games/store/Kona/BXDSG249D6Q2,BXDSG249D6Q2,Xbox,Yes,Removed,Apr 2025,Mar 2016,71,Adventure,No relation,T,"Blood, Sexual Themes, Use of Alcohol and Tobacco, Violence",,18,parabole,False,,,ravenscourt,2017-03-17T00:00:00.0000000Z,30Days,4.5,0.0,0,4,0,0,7Days,5.0,0.0,0,1,0,0,AllTime,3.9,0.0,0,1908,0,0,2.24,3616,663,25.0,0.05,0.6,1.1,False,Adventure,13.64,11.36,12.375,,,0.02,0.030000000000000002,0.025,,,0.0,0.6,-0.05,,,3rd Party
333,Yakuza Kiwami,https://www.xbox.com/en-us/games/store/yakuza-kiwami-2/9PBPNTFFXCBN,9PBPNTFFXCBN,Xbox / PC,Touch Controls,Removed,Mar 2025,Jan 2016,80,Brawler / Action-Adventure,No relation,M,"Blood, Intense Violence, Partial Nudity, Sexual Themes, Strong Language, Use of Alcohol",,12,sega,False,,,sega,2025-12-08T00:00:00.0000000Z,30Days,4.8,0.0,0,98,0,0,7Days,4.4,0.0,0,7,0,0,AllTime,4.8,0.0,0,98,0,0,0.0,3676,1303,7.14,7.14,0.0,-0.4,False,Brawler / Action-Adventure,100.0,-92.86,7.14,,,0.28,6.859999999999999,7.14,,,0.0,0.0,0.0,,,3rd Party
